GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IMGresize,imgresize.bilinear,Bilinear,0,191,0,6,0,27,0,8,0,5
IMGresize,performance,Performance,22,16,0,0,5,2,3,2,3,2
IMGresize,imgresize,Main,10,0,0,0,4,0,2,0,2,0
IMGresize,imgresize,OriginalImageLocationReader,20,3,0,0,5,1,1,1,1,1
IMGresize,imgresize,RunProgram,129,0,0,0,27,0,2,0,2,0
IMGresize,imgresize,ResizedImageCreator,97,90,0,0,18,14,1,2,1,2
IMGresize,imgresize,FileFinder,107,18,18,0,22,4,13,1,4,1
IMGresize,datastructure,MyArrayList,14,67,2,4,1,17,2,7,0,6
IMGresize,datastructure,MyArrayList.new Iterator() {...},1,31,0,2,1,4,1,4,1,3
IMGresize,imgscalr,ImgScalr,27,0,0,0,5,0,2,0,2,0
